geneid,ITP16-041_2001_RNASeq,ITP16-041_2003_RNASeq,ITP16-041_2005_RNASeq,ITP16-041_3001_RNASeq,ITP16-041_3003_RNASeq,ITP16-041_3005_RNASeq
ENSRNOG00000046319,0,0,0,0,0,0
ENSRNOG00000047964,0,0,0,0,0,0
ENSRNOG00000050370,0,0,0,0,0,0
ENSRNOG00000032365,0,0,0,0,0,0
ENSRNOG00000040300,1,0,0,0,0,2
ENSRNOG00000058808,0,0,0,0,0,0
ENSRNOG00000061316,9,15,11,3,10,14
ENSRNOG00000050129,0,0,0,0,0,0
ENSRNOG00000040316,0,0,0,0,0,2
ENSRNOG00000023659,0,0,0,0,0,1
ENSRNOG00000029897,0,0,0,0,0,0
ENSRNOG00000042852,0,0,0,0,0,0
ENSRNOG00000061806,0,0,0,0,0,0
ENSRNOG00000055877,0,0,0,0,0,0
ENSRNOG00000014303,1656,1646,2052,1459,1554,1374
ENSRNOG00000051899,2,1,2,2,1,1
ENSRNOG00000014330,232,255,302,296,260,294
ENSRNOG00000049505,46,54,80,73,76,63
ENSRNOG00000014916,648,570,800,622,734,681
ENSRNOG00000014996,144,155,232,225,209,231
ENSRNOG00000015239,1055,921,1399,965,1018,814
ENSRNOG00000055508,0,0,0,0,0,0
ENSRNOG00000053710,0,0,0,0,0,0
ENSRNOG00000015552,162,201,251,225,285,284
ENSRNOG00000016041,15,17,17,8,3,26
ENSRNOG00000016054,1417,1133,1610,1281,1444,1335
ENSRNOG00000016381,5,1,7,3,10,7
ENSRNOG00000054005,0,0,0,0,0,0
ENSRNOG00000059137,0,0,0,0,0,0
ENSRNOG00000013160,897,1040,1523,1457,2171,1441
ENSRNOG00000052788,0,0,0,0,0,0
ENSRNOG00000023549,4,9,0,4,10,4
ENSRNOG00000031859,0,0,0,0,0,0
ENSRNOG00000013351,307,296,325,306,474,381
ENSRNOG00000061755,0,0,0,0,0,0
ENSRNOG00000053182,0,0,0,0,0,0
ENSRNOG00000042741,90,84,43,61,107,69
ENSRNOG00000014258,184,162,237,192,220,273
ENSRNOG00000057302,0,0,0,0,0,0
ENSRNOG00000014290,0,0,0,0,0,0
ENSRNOG00000041566,0,0,0,0,0,0
ENSRNOG00000014431,0,0,1,0,1,0
ENSRNOG00000014450,207,235,225,269,310,305
ENSRNOG00000014852,154,119,161,203,232,152
ENSRNOG00000052274,0,0,0,0,0,0
ENSRNOG00000040242,1,2,1,10,12,4
ENSRNOG00000054906,0,0,0,0,0,0
ENSRNOG00000058048,0,0,0,0,0,0
ENSRNOG00000051844,0,0,0,0,0,0
ENSRNOG00000053880,0,0,0,0,0,0
ENSRNOG00000011058,1082,1210,977,901,1109,1106
ENSRNOG00000014902,4,8,4,2,3,4
ENSRNOG00000014908,352,351,639,470,533,561
ENSRNOG00000036310,0,0,0,0,0,0
ENSRNOG00000025587,6,5,1,2,2,7
ENSRNOG00000042705,0,0,0,0,0,0
ENSRNOG00000043188,0,0,0,0,0,0
ENSRNOG00000015217,231,224,415,336,306,409
ENSRNOG00000015473,13,19,38,3,8,21
ENSRNOG00000015551,281,313,500,381,282,329
ENSRNOG00000015660,411,362,600,510,428,528
ENSRNOG00000046983,5,8,4,16,14,19
ENSRNOG00000016624,0,0,0,0,0,0
ENSRNOG00000010753,270,364,678,226,238,246
ENSRNOG00000011015,48,54,74,48,54,60
ENSRNOG00000011399,0,0,0,0,0,0
ENSRNOG00000011411,62,48,76,80,75,90
ENSRNOG00000011540,404,358,642,489,510,526
ENSRNOG00000012092,0,0,0,0,0,0
ENSRNOG00000012103,0,0,0,0,1,0
ENSRNOG00000059930,0,0,0,0,0,0
ENSRNOG00000059032,0,0,0,0,0,0
ENSRNOG00000056005,0,0,0,0,0,0
ENSRNOG00000055342,0,0,0,0,0,0
ENSRNOG00000047798,0,0,0,0,0,0
ENSRNOG00000059769,0,0,0,0,0,0
ENSRNOG00000047193,0,0,0,0,0,0
ENSRNOG00000060990,12,12,12,19,26,22
ENSRNOG00000058425,9,12,5,15,9,7
ENSRNOG00000055421,0,0,0,0,0,0
ENSRNOG00000051831,4,9,3,5,22,10
ENSRNOG00000052007,0,0,0,0,0,0
ENSRNOG00000061685,0,0,0,0,0,0
ENSRNOG00000047746,5931,7716,47455,9095,10145,10966
ENSRNOG00000053888,4,9,3,5,22,10
ENSRNOG00000055836,0,0,0,0,0,0
ENSRNOG00000060657,0,0,0,0,0,0
ENSRNOG00000059898,37,31,42,27,54,42
ENSRNOG00000055789,6,4,1,7,14,8
ENSRNOG00000055660,0,1,0,0,0,0
ENSRNOG00000060284,0,0,0,0,0,0
ENSRNOG00000056019,0,0,0,0,0,0
ENSRNOG00000059861,0,0,0,0,0,0
ENSRNOG00000056940,512,964,460,662,483,1024
ENSRNOG00000055972,0,0,1,0,0,0
ENSRNOG00000060021,0,0,0,0,0,0
ENSRNOG00000060610,0,0,0,0,0,0
ENSRNOG00000060972,830,838,1115,776,1014,1002
ENSRNOG00000051450,201,211,373,171,249,235
ENSRNOG00000059224,215,208,249,177,271,239
ENSRNOG00000055142,49,62,6,31,23,37
ENSRNOG00000052189,1,3,1,2,0,1
ENSRNOG00000053331,0,0,0,0,0,0
ENSRNOG00000053347,143,171,278,197,271,229
ENSRNOG00000059393,0,0,0,0,0,0
ENSRNOG00000060603,200,255,142,237,253,204
ENSRNOG00000053735,5,6,5,15,5,10
ENSRNOG00000053184,0,0,0,0,0,0
ENSRNOG00000011460,4,11,7,11,11,5
ENSRNOG00000025799,0,0,0,0,0,0
ENSRNOG00000011994,1036,1071,1066,1006,1316,1249
ENSRNOG00000049517,76,71,53,29,44,67
ENSRNOG00000058088,0,0,0,0,0,0
ENSRNOG00000054373,0,0,0,0,0,0
ENSRNOG00000012057,0,0,0,0,0,0
ENSRNOG00000053291,3,5,3,1,5,3
ENSRNOG00000012074,714,682,1134,681,580,914
ENSRNOG00000012259,0,0,0,0,0,0
ENSRNOG00000012286,0,0,0,0,0,0
ENSRNOG00000057719,0,0,0,0,0,0
ENSRNOG00000012311,0,0,0,0,0,0
ENSRNOG00000012322,300,216,285,317,380,357
ENSRNOG00000031700,339,339,255,550,591,407
ENSRNOG00000054452,1,0,0,0,0,0
ENSRNOG00000012701,747,707,713,850,1045,1006
ENSRNOG00000053505,0,0,0,0,0,0
ENSRNOG00000058050,719,883,772,876,1219,1034
ENSRNOG00000013436,0,5,14,7,7,16
ENSRNOG00000058518,0,0,0,0,0,0
ENSRNOG00000053617,0,0,0,0,0,0
ENSRNOG00000013969,49,66,61,99,104,94
ENSRNOG00000055858,0,1,1,0,0,3
ENSRNOG00000014531,734,701,1121,719,960,911
ENSRNOG00000014907,8418,8781,7370,8502,10733,11109
ENSRNOG00000052464,0,0,0,0,0,0
ENSRNOG00000058612,0,0,0,0,0,0
ENSRNOG00000048762,0,3,0,5,3,3
ENSRNOG00000058363,0,0,0,0,0,0
ENSRNOG00000014979,0,1,0,0,0,1
ENSRNOG00000055971,0,0,0,0,0,0
ENSRNOG00000047605,1450,1449,1541,1198,1662,1425
ENSRNOG00000046617,7,4,8,5,8,8
ENSRNOG00000047754,0,0,0,0,0,0
ENSRNOG00000028519,0,0,0,0,0,0
ENSRNOG00000011134,69,118,51,53,63,66
ENSRNOG00000046438,0,0,0,0,0,0
ENSRNOG00000057281,0,0,0,0,0,0
ENSRNOG00000058772,0,0,0,0,0,0
ENSRNOG00000011245,102,180,175,135,153,157
ENSRNOG00000030796,0,0,0,0,0,0
ENSRNOG00000051380,1,1,3,2,3,1
ENSRNOG00000011720,97,180,88,103,153,141
ENSRNOG00000033517,763,52,40,33,1097,932
ENSRNOG00000039955,0,0,3,0,1,2
ENSRNOG00000050801,3,8,3,4,5,9
ENSRNOG00000049569,0,0,0,0,0,0
ENSRNOG00000047783,1,3,0,1,1,2
ENSRNOG00000011855,0,0,0,0,0,0
ENSRNOG00000053931,0,0,0,0,0,0
ENSRNOG00000026462,0,0,11,2,0,3
ENSRNOG00000056218,0,0,0,0,0,0
ENSRNOG00000047821,840,757,1263,894,955,1151
ENSRNOG00000012346,83,97,86,56,95,123
ENSRNOG00000013202,19,36,26,38,50,47
ENSRNOG00000055111,24,12,18,9,6,19
ENSRNOG00000054921,0,0,0,0,0,0
ENSRNOG00000053999,0,0,0,0,0,0
ENSRNOG00000052696,0,0,0,0,0,0
ENSRNOG00000013304,21004,20975,17969,25515,28661,28351
ENSRNOG00000013422,493,491,429,519,554,519
ENSRNOG00000013791,1754,2201,1077,1411,2145,1280
ENSRNOG00000053913,9,14,9,9,17,12
ENSRNOG00000013994,1959,1928,2035,1824,2233,1964
ENSRNOG00000015036,63,40,39,24,46,48
ENSRNOG00000015321,0,0,0,0,0,0
ENSRNOG00000015670,521,595,772,602,685,750
ENSRNOG00000026096,0,0,0,0,0,0
ENSRNOG00000056705,0,0,0,0,0,0
ENSRNOG00000048934,0,0,0,0,0,0
ENSRNOG00000030414,0,0,0,0,0,0
ENSRNOG00000039872,0,0,0,0,0,0
ENSRNOG00000048072,0,0,0,0,0,0
ENSRNOG00000052726,0,1,0,1,0,1
ENSRNOG00000048265,0,0,0,0,0,0
ENSRNOG00000046903,0,0,0,0,0,0
ENSRNOG00000045914,0,0,0,0,0,0
ENSRNOG00000047825,0,0,0,0,0,0
ENSRNOG00000046302,0,0,0,0,0,0
ENSRNOG00000016095,0,0,0,0,0,0
ENSRNOG00000016089,0,0,0,0,0,0
ENSRNOG00000039869,0,0,0,0,0,0
ENSRNOG00000029877,0,0,0,0,0,0
ENSRNOG00000025982,0,0,0,0,0,0
ENSRNOG00000025951,0,0,0,0,0,0
ENSRNOG00000016073,0,0,0,0,0,0
ENSRNOG00000016219,1025,1039,1250,435,362,745
ENSRNOG00000039865,829,834,777,925,964,985
ENSRNOG00000016371,245,195,307,260,262,297
ENSRNOG00000060376,34,44,46,26,35,64
ENSRNOG00000016411,2831,2675,5329,4871,4905,5467
ENSRNOG00000057952,0,0,0,0,0,0
ENSRNOG00000061678,0,0,0,0,0,0
ENSRNOG00000054517,0,1,2,3,3,5
ENSRNOG00000016627,0,0,0,0,0,0
ENSRNOG00000048248,5,0,0,0,4,0
ENSRNOG00000016700,63,87,91,67,78,85
ENSRNOG00000011114,179,135,282,195,254,263
ENSRNOG00000011161,52,12,62,54,87,69
ENSRNOG00000051597,0,0,0,0,0,0
ENSRNOG00000057722,0,0,0,0,0,0
ENSRNOG00000011815,1078,198,592,369,273,752
ENSRNOG00000059690,0,0,0,0,0,0
ENSRNOG00000051379,0,0,0,0,0,0
ENSRNOG00000059251,0,0,0,0,0,0
ENSRNOG00000061761,0,0,0,0,0,0
ENSRNOG00000056881,0,0,0,0,0,0
ENSRNOG00000055637,0,0,0,0,1,0
ENSRNOG00000058047,0,0,0,0,0,0
ENSRNOG00000052999,0,0,0,0,0,0
ENSRNOG00000048976,7,0,4,5,0,3
ENSRNOG00000048796,2,0,0,0,1,0
ENSRNOG00000054246,0,0,0,0,0,0
ENSRNOG00000012122,0,0,0,0,0,0
ENSRNOG00000012609,0,0,0,0,0,0
ENSRNOG00000058582,0,0,0,0,0,0
ENSRNOG00000029608,0,0,0,0,0,0
ENSRNOG00000052712,0,0,0,0,0,0
ENSRNOG00000057890,0,0,0,0,0,0
ENSRNOG00000056670,13,7,12,11,27,21
ENSRNOG00000013323,216,211,336,239,263,267
ENSRNOG00000021478,11,22,11,20,7,18
ENSRNOG00000021442,61,79,96,76,91,109
ENSRNOG00000041720,0,0,0,0,0,0
ENSRNOG00000013364,4,8,7,3,2,3
ENSRNOG00000014004,42,33,32,25,22,34
ENSRNOG00000045369,0,0,0,0,0,0
ENSRNOG00000014190,352,327,452,441,484,565
ENSRNOG00000014240,93,96,110,109,123,134
ENSRNOG00000042944,1,3,6,2,1,2
ENSRNOG00000060033,0,0,0,0,0,0
ENSRNOG00000050157,0,0,0,0,0,0
ENSRNOG00000056383,0,0,0,0,0,0
ENSRNOG00000061372,0,0,0,0,0,0
ENSRNOG00000056484,0,0,0,0,0,0
ENSRNOG00000011568,82,93,100,91,82,75
ENSRNOG00000011588,272,225,369,347,341,341
ENSRNOG00000011622,178,165,174,226,237,221
ENSRNOG00000054753,3,3,1,1,3,5
ENSRNOG00000042309,2,2,0,3,3,2
ENSRNOG00000012324,0,0,0,0,1,0
ENSRNOG00000061741,0,0,0,0,0,0
ENSRNOG00000054845,0,0,0,0,0,0
ENSRNOG00000023407,393,358,640,553,518,620
ENSRNOG00000023387,385,421,1167,764,1107,1120
ENSRNOG00000012581,0,0,0,0,0,0
ENSRNOG00000039788,0,0,0,0,0,0
ENSRNOG00000051400,0,0,0,0,0,0
ENSRNOG00000039783,292,122,234,37,81,274
ENSRNOG00000028357,5,14,8,8,5,12
ENSRNOG00000012775,113,86,139,117,126,116
ENSRNOG00000013331,4459,3678,5039,5027,5328,5575
ENSRNOG00000014485,617,664,796,884,909,982
ENSRNOG00000014721,0,1,0,0,1,1
ENSRNOG00000039776,405,371,528,527,523,533
ENSRNOG00000015159,0,0,0,0,0,0
ENSRNOG00000015465,4,2,2,3,0,2
ENSRNOG00000028261,71,57,42,23,58,27
ENSRNOG00000039743,0,0,1,0,1,0
ENSRNOG00000060926,0,0,0,0,0,0
ENSRNOG00000015676,227,216,292,248,246,314
ENSRNOG00000015810,3,6,4,2,7,8
ENSRNOG00000051415,0,0,0,0,0,0
ENSRNOG00000045233,0,0,0,0,0,0
ENSRNOG00000016103,25,12,19,17,13,27
ENSRNOG00000016372,979,1020,1279,840,1166,1037
ENSRNOG00000056712,0,0,0,0,0,0
ENSRNOG00000026501,0,0,0,0,0,0
ENSRNOG00000016253,0,0,0,0,0,0
ENSRNOG00000061518,1,0,0,1,0,3
ENSRNOG00000025327,353,348,242,264,258,290
ENSRNOG00000016923,3249,2990,4555,3505,3221,3755
ENSRNOG00000017302,3,1,1,0,1,1
ENSRNOG00000017930,27,35,58,24,49,78
ENSRNOG00000053180,0,0,0,0,0,0
ENSRNOG00000047971,46,49,56,23,35,63
ENSRNOG00000049394,385,421,187,174,17,35
ENSRNOG00000012720,1,1,1,0,1,0
ENSRNOG00000060323,0,0,0,0,0,0
ENSRNOG00000057164,0,0,0,0,0,0
ENSRNOG00000012742,2,1,9,2,10,1
ENSRNOG00000058487,0,0,0,0,0,0
ENSRNOG00000055826,0,0,0,0,0,0
ENSRNOG00000053323,0,0,0,0,0,0
ENSRNOG00000056842,0,0,0,0,0,0
ENSRNOG00000033609,106,128,253,159,170,248
ENSRNOG00000054020,0,0,0,0,0,0
ENSRNOG00000054169,0,0,0,0,0,0
ENSRNOG00000057928,0,0,0,0,0,0
ENSRNOG00000057721,0,0,0,0,0,0
ENSRNOG00000016812,0,1,0,0,0,0
ENSRNOG00000047117,10,15,4,6,25,14
ENSRNOG00000023053,465,486,480,488,608,475
ENSRNOG00000049434,0,0,3,3,9,5
ENSRNOG00000052375,0,0,0,0,0,0
ENSRNOG00000017095,0,0,0,0,0,2
ENSRNOG00000055337,0,0,0,0,0,0
ENSRNOG00000057357,0,0,0,0,0,0
ENSRNOG00000017150,135,184,271,162,200,255
ENSRNOG00000043733,0,0,0,0,0,0
ENSRNOG00000034075,0,1,1,0,0,0
ENSRNOG00000017254,1168,1031,1786,1793,1516,1811
ENSRNOG00000017601,6565,4812,9091,6991,6414,5046
ENSRNOG00000052644,0,0,0,0,1,0
ENSRNOG00000017613,514,332,622,407,480,427
ENSRNOG00000055880,0,0,0,0,0,0
ENSRNOG00000017678,0,0,0,0,2,0
ENSRNOG00000058077,0,1,0,0,0,0
ENSRNOG00000032150,1,2,3,0,1,2
ENSRNOG00000055957,0,0,0,0,0,0
ENSRNOG00000047406,0,0,0,0,0,0
ENSRNOG00000027422,298,284,379,336,412,354
ENSRNOG00000017826,440,487,493,560,648,549
ENSRNOG00000042308,91,84,146,109,129,89
ENSRNOG00000058041,0,0,0,0,0,0
ENSRNOG00000051377,251,187,321,283,331,346
ENSRNOG00000059310,1,0,0,0,1,0
ENSRNOG00000017963,82,95,68,90,91,53
ENSRNOG00000049259,77,71,45,81,79,62
ENSRNOG00000016462,70,74,92,84,85,99
ENSRNOG00000056694,3,8,3,5,8,7
ENSRNOG00000049256,0,0,0,0,0,0
ENSRNOG00000046712,1,0,0,1,1,1
ENSRNOG00000054816,0,0,0,0,0,0
ENSRNOG00000049881,0,2,1,0,0,0
ENSRNOG00000047145,84,94,39,78,118,53
ENSRNOG00000046353,43,37,32,32,35,29
ENSRNOG00000054466,0,1,0,0,0,0
ENSRNOG00000057057,0,0,0,1,1,0
ENSRNOG00000053328,0,0,0,0,2,0
ENSRNOG00000023081,0,0,0,0,0,0
ENSRNOG00000016368,0,1,1,0,1,1
ENSRNOG00000016286,1310,1387,995,1535,2052,1930
ENSRNOG00000053056,0,0,0,0,0,0
ENSRNOG00000016011,34,41,47,29,36,45
ENSRNOG00000019582,8,7,30,25,39,66
ENSRNOG00000055235,0,0,0,0,0,0
ENSRNOG00000019549,35,33,53,34,65,57
ENSRNOG00000019544,149,117,146,118,122,130
ENSRNOG00000019501,818,864,1040,1128,1154,1201
ENSRNOG00000019489,220,175,201,156,184,224
ENSRNOG00000054876,0,0,0,0,0,1
ENSRNOG00000024280,1,0,0,0,0,1
ENSRNOG00000019358,466,585,507,301,448,347
ENSRNOG00000057689,0,0,0,0,0,0
ENSRNOG00000055223,0,0,0,0,0,0
ENSRNOG00000055166,125,106,259,115,110,164
ENSRNOG00000018960,1330,1286,808,949,1125,1009
ENSRNOG00000052241,0,0,0,0,0,0
ENSRNOG00000018858,12,8,7,6,6,19
ENSRNOG00000053113,34,24,68,25,36,86
ENSRNOG00000018808,0,0,0,0,0,0
ENSRNOG00000054156,0,0,0,0,0,0
ENSRNOG00000024077,19,35,31,19,27,32
ENSRNOG00000018773,100,102,167,131,184,156
ENSRNOG00000059321,0,0,0,0,0,0
ENSRNOG00000055161,0,0,0,0,0,0
ENSRNOG00000018690,0,0,0,0,0,0
ENSRNOG00000033265,0,0,0,0,0,0
ENSRNOG00000059050,0,0,0,0,0,0
ENSRNOG00000059359,0,0,0,0,0,0
ENSRNOG00000060413,0,0,0,0,0,0
ENSRNOG00000018191,0,0,0,0,0,0
ENSRNOG00000060991,0,0,0,0,0,0
ENSRNOG00000059866,0,2,0,1,0,1
ENSRNOG00000018163,0,0,0,1,1,0
ENSRNOG00000055098,0,0,0,0,0,0
ENSRNOG00000018052,195,243,277,196,261,321
ENSRNOG00000004144,12,14,25,17,29,23
ENSRNOG00000060056,0,0,0,0,0,0
ENSRNOG00000016919,633,642,745,645,735,737
ENSRNOG00000057561,2,2,2,0,2,2
ENSRNOG00000016728,10,9,15,16,19,20
ENSRNOG00000056223,107,92,123,192,177,193
ENSRNOG00000023531,0,2,1,3,2,5
ENSRNOG00000016490,0,0,0,0,0,0
ENSRNOG00000059546,0,0,0,0,0,0
ENSRNOG00000054504,0,0,0,0,0,0
ENSRNOG00000053507,0,0,0,0,0,0
ENSRNOG00000053052,0,0,0,0,0,0
ENSRNOG00000017030,486,481,501,522,608,443
ENSRNOG00000016973,218,257,262,207,303,255
ENSRNOG00000029049,49,56,64,63,79,68
ENSRNOG00000058103,0,2,1,1,0,0
ENSRNOG00000046874,428,422,355,439,493,372
ENSRNOG00000017114,60,58,58,74,51,71
ENSRNOG00000017889,42,59,40,46,71,50
ENSRNOG00000018007,264,302,377,332,371,434
