"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SNCB",7.54509284298201,-2.26267460192068,0.922953119236936,-2.45155962395076,0.0142238619387053,NA
"CLIC5",10.3009273447135,-1.83968180124111,0.80940249817034,-2.272888711611,0.0230328872334064,NA
"SYNGR1",8.99182673047422,-1.70335746016239,0.731677333857816,-2.32801725752707,0.019911187315773,NA
"TRIM36",12.4879697129937,-1.57726715969764,0.655192064872656,-2.40733556503649,0.0160693969391391,NA
"AQP7P1",13.3807032474208,-1.55143295383171,0.606584043964885,-2.5576553970838,0.0105380462575052,NA
"VSIG10L",7.51284526809459,-1.3541860383738,0.889119293674584,-1.52306450665036,0.127742567642518,NA
"SCOC-AS1",8.72668252019087,-1.32000051167135,0.797158772228481,-1.655881560434,0.0977458065296771,NA
"SLC5A4",11.9187025192696,-1.31910405843314,0.692435799025549,-1.90502001815834,0.0567774690087993,NA
"NPNT",16.6228540792725,-1.31643820697984,0.648282424064905,-2.03065540281876,0.0422899633319136,NA
"LOC100190986",8.51872464608874,-1.2498884118877,0.912216731053669,-1.37016606836842,0.170635067740086,NA
"SORL1",11.7569782736737,-1.24231634280152,0.695308231193796,-1.78671312529775,0.0739838666071923,NA
"DOCK2",8.92199789617583,-1.23938028631214,0.80992162042422,-1.5302471931333,0.125955553874224,NA
"PAN3-AS1",12.5552442805637,-1.14651012889624,0.662905782868641,-1.72952199019122,0.0837157142868231,NA
"DGCR6",6.2888944781584,-1.13967856457239,1.48453915980435,-0.767698552810549,0.442666296164188,NA
"SRC",12.4379700175528,-1.12025682537309,0.639058446479914,-1.75298023450552,0.079605399893364,NA
"CELSR2",15.5381066423481,-1.08561366143976,0.652051853802385,-1.66491921633087,0.0959288738487757,NA
"LOC441242",9.68321832379055,-1.07833976045274,0.712758131136011,-1.5129112013553,0.13030221624549,NA
"CIITA",16.7428856141546,-1.07396393653151,0.7669811176283,-1.40024820930726,0.161439003879908,NA
"MARVELD2",15.5621229572601,-1.04107587922097,0.600223278948103,-1.73448101020917,0.0828327722797233,NA
"DNAJC3-AS1",12.2610382384826,-1.0191586980131,0.644561329683489,-1.58116637017855,0.113840002540011,NA
"NRG2",21.6787820998047,-1.01491373841971,0.514935904964698,-1.97095158569161,0.0487294138040492,NA
"ATE1-AS1",9.02151766706863,-0.993428295394727,0.717383779392548,-1.38479336156154,0.166115661394804,NA
"CXCL16",37.744683882909,-0.986437034110434,0.47304679733943,-2.08528424599528,0.0370435065860279,NA
"TMEM240",11.2480150010574,-0.976345371332625,0.664551321498212,-1.46917979055625,0.141784030277582,NA
"PAPPA",15.9778374729685,-0.949662140479718,0.59884441859559,-1.5858244829381,0.112779130227379,NA
"RASGRP2",10.7463515022503,-0.929491020735824,0.680667079848494,-1.36555894688298,0.172077439412021,NA
"ZNF296",19.1736412505814,-0.923499590499132,0.526623043868319,-1.75362548458865,0.0794947012934425,NA
"IL17RE",7.81581747806122,-0.921089163138173,0.977340736643699,-0.942444255727332,0.34596523828347,NA
"PGM5P2",16.9665448417418,-0.909599262261305,0.530870647887906,-1.71341034935759,0.0866370736423323,NA
"FAM46A",20.2640380988931,-0.900244939405174,0.51402043152875,-1.75137968101336,0.0798805306180295,NA
"ANKAR",11.3373407172761,-0.897772061230353,0.680138015742107,-1.3199851213298,0.186839985638102,NA
"PCDHGB2",12.4071913553572,-0.892883484650771,0.651700015167224,-1.37008357199694,0.17066081535367,NA
"ACTG1P20",13.3364627000387,-0.891021464143745,0.741581228854841,-1.20151566608512,0.229551233219835,NA
"SHANK2",14.3282000159273,-0.87442956257829,0.786434439169944,-1.11189123851344,0.266184916243433,NA
"ATP6V1E2",8.97139316485406,-0.861025147060683,0.78041627134932,-1.10328958873704,0.269901426420596,NA
"DLG3",9.53919504997765,-0.858138799753262,0.723807564703112,-1.18558970864756,0.235784368408011,NA
"LINC01061",11.1813232346959,-0.857132869740756,0.681305472478977,-1.25807424769688,0.208364905687664,NA
"FAT3",18.8385013176923,-0.846297923099347,0.601562568740887,-1.40683275036661,0.159476988699813,NA
"ZNF876P",13.7085150417144,-0.845656153593521,0.605734441880851,-1.39608398519935,0.162689205818538,NA
"KIAA1456",12.4362436018569,-0.84464253381718,0.620984875299878,-1.36016603207815,0.173777389044394,NA
"LOC100335030",10.0705353816169,-0.838143651684012,0.720530226174859,-1.16323177187658,0.244735479090493,NA
"TPT1-AS1",19.2899061473681,-0.831094447034789,0.51720171017481,-1.60690583709378,0.108075025766497,NA
"ACAN",5.84318448028318,-0.829984930982873,1.42126397501137,-0.583976619105002,0.559236042620613,NA
"ADAMTS1",280.149845782635,-0.823638705516937,0.212414935104561,-3.87749903325537,0.00010553574683603,NA
"TNFSF15",10.4875855738241,-0.822044849268628,0.753378499511909,-1.09114455721952,0.275209279331845,NA
"KLHL29",24.7645429245039,-0.820102257024586,0.50451761940179,-1.62551757458339,0.104052322200112,NA
"LINC01347",15.1023629915589,-0.817842108369432,0.584117243845712,-1.40013347831494,0.161473351462461,NA
"ANGPTL4",38.135609456047,-0.806704023696631,0.371016951191798,-2.17430503136123,0.0296822348168817,NA
"TTTY15",28.2651088168771,-0.802443049424952,3.7321093918337,-0.215010591913729,NA,NA
"PCLO",9.47213740536239,-0.799056096428057,0.738941675786694,-1.08135205065726,0.27954054210953,NA
"ANOS1",28.3792517401504,-0.79710346920088,0.493974942347218,-1.61365162656488,0.106603011961173,NA
"GSTM2",8.3350111000355,-0.792533574839908,0.921780405445659,-0.859785660617007,0.389907205083015,NA
"CSAD",27.9001251876953,-0.789488723964502,0.527764305609923,-1.49591155667891,0.134676704321808,NA
"LOC103611081",40.3957261144545,-0.788183050894605,0.353079080899553,-2.23231308092941,0.0255942779294277,NA
"SMO",18.0095644034996,-0.782442228619386,0.512286456291417,-1.52735294679407,0.126673270135289,NA
"PRRT2",12.8721542651504,-0.77996405101735,0.683686825725382,-1.14082065306702,0.25394456419037,NA
"SLAIN1",8.19103808807205,-0.774339209951368,0.770536251248673,-1.00493547019564,0.314927923373315,NA
"FZD5",38.4094907295591,-0.773264530284884,0.428817377978279,-1.80324905191704,0.0713491100422128,NA
"LRP1",40.4563138263935,-0.772390543362676,0.384760764153888,-2.00745662063856,0.044701065153512,NA
"SEMA5A",11.4550738178399,-0.770584612095738,0.940751633169231,-0.819115890875225,0.412720296335617,NA
"HS6ST3",53.6063866643466,-0.770492712171304,0.379342876041989,-2.03112477084193,0.0422423392497083,NA
"LOC100996286",9.04732883274146,-0.770457121073185,0.940309013521755,-0.819365878656825,0.412577696425747,NA
"MIR100HG",33.2128540015886,-0.762806402596173,0.521933881223969,-1.46150006741724,0.143878257064327,NA
"ALPK2",7.28891208758122,-0.762425870127793,1.31993571247187,-0.577623487965169,0.563518345693746,NA
"INE1",11.680178202402,-0.757817905827916,0.625735980419063,-1.21108251649585,0.22586378132955,NA
"VILL",37.6982225722197,-0.752884634941129,0.380092283276848,-1.98079431776506,0.0476143443076862,NA
"PNMA2",17.3993482763173,-0.750982371233001,0.77032931605757,-0.974884838962661,0.329617387354835,NA
"LOC654342",14.3316794096545,-0.750838332258284,0.618989412976954,-1.21300674376193,0.225127242193096,NA
"CEP295NL",14.2185513844006,-0.7469451666103,0.662069247777795,-1.1281979477485,0.259236330461069,NA
"COL7A1",8.97974105128744,-0.735214563016407,0.981707775307716,-0.74891386368612,0.453909123735552,NA
"NBPF20",27.4660186029449,-0.731843839230681,0.470703478098985,-1.55478740498446,0.119996709766679,NA
"MRPL45P2",11.5940925640791,-0.731463955169431,0.675948272005466,-1.08213007631376,0.279194733217057,NA
"ADAMTS13",12.9341541228705,-0.723382090872204,0.709525059951389,-1.01953000916101,0.307951413863977,NA
