"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000018148",90.2520781251977,-9.86938909022168,1.22847729929152,-8.03383920558687,9.44689860686964e-16,3.28266231019282e-13
"ENSRNOG00000006612",20.1652459056326,-7.70805734529038,3.90884269975728,-1.97195383323279,0.0486148770034949,0.403036219574986
"ENSRNOG00000054391",13.9309501407244,-7.17215695772491,1.39859407877213,-5.12811906369687,2.92651345592962e-07,NA
"ENSRNOG00000050827",10.4897528950901,-6.76585074844889,3.91075650739336,-1.73006187822175,NA,NA
"ENSRNOG00000048990",9.64488598888652,-6.63978875074503,1.63569281000658,-4.05931279401927,4.92173480323776e-05,NA
"ENSRNOG00000049593",8.88715175834025,-6.52675414647273,3.91147559690312,-1.66861686460226,0.0951933344512844,NA
"ENSRNOG00000013112",16.6858597095161,-6.45976957928647,1.38626519766657,-4.6598367975766,3.16460196303457e-06,0.000265433717754665
"ENSRNOG00000013771",45.3704470079985,-6.32098443658259,2.17549291819359,-2.90554126088868,0.00366618508643386,0.0804840126736618
"ENSRNOG00000022709",24.1953135395271,-6.00947902310814,3.10974515810298,-1.93246671916166,0.0533019259808142,0.422223004279162
"ENSRNOG00000006146",4.80982949867191,-5.63729744568927,1.66522414191711,-3.38530850219315,0.000710982987828987,NA
"ENSRNOG00000010047",41.4726405297494,-5.52582739347452,0.931734921936467,-5.93068614621629,3.01671363072573e-09,4.82753568116925e-07
"ENSRNOG00000056847",1952.84309354408,-5.4875211797618,0.202512976618062,-27.0971335832529,1.06428066128065e-161,6.47189070124763e-158
"ENSRNOG00000026051",20.8303357900158,-5.33375331437189,1.45372973301124,-3.66901301751847,NA,NA
"ENSRNOG00000059146",3.7948341524702,-5.30098201319416,2.22323885783599,-2.38435109862821,0.0171092703223817,NA
"ENSRNOG00000023304",3.48047978738594,-5.16903875442907,2.13361172674352,-2.42267076508735,0.0154068827507364,NA
"ENSRNOG00000002948",889.54642003453,-5.11537231422087,0.251977662232924,-20.3008959956629,1.26261640426865e-91,5.11864690290509e-88
"ENSRNOG00000037203",3.20520227349976,-5.05858318470379,2.70144296875396,-1.87254857615486,0.0611307480821461,NA
"ENSRNOG00000020093",3.0818539831735,-5.0008555085561,1.76791835774775,-2.82866880511778,0.00467420432767882,NA
"ENSRNOG00000056855",3.05951126106796,-4.99155271574947,2.72686135902178,-1.83051210111398,0.0671733989401737,NA
"ENSRNOG00000052545",2.89415610541414,-4.9093197023378,2.76233389280336,-1.77723616798387,0.0755293910127919,NA
"ENSRNOG00000017899",17398.2247489383,-4.8828511241667,0.16375459478144,-29.8181014748547,2.27613036805501e-195,2.76822975362851e-191
"ENSRNOG00000052778",2.83445916736739,-4.88243776611622,2.19382202726052,-2.22553958591301,0.0260450367436368,NA
"ENSRNOG00000038894",2.81632856796768,-4.87522198002419,2.00056095438797,-2.43692748742847,0.0148126493942754,NA
"ENSRNOG00000046235",9.5163390519643,-4.73950029320049,1.67404009254632,-2.8311749009496,0.00463773531216945,NA
"ENSRNOG00000039906",2.53334791616958,-4.71981691837361,2.36945190803225,-1.99194459375766,0.0463771373943454,NA
"ENSRNOG00000060401",27.1871881677247,-4.65991536622919,0.791970310363656,-5.88395209422618,4.00583830750275e-09,6.3271435708894e-07
"ENSRNOG00000000916",2.43587910784727,-4.65313697440053,2.87973761943923,-1.61581976878388,0.106133286107205,NA
"ENSRNOG00000010210",25.6187940882036,-4.57981109691117,0.897696781779376,-5.10173500659462,3.36553770326469e-07,3.41097246225876e-05
"ENSRNOG00000042410",2.27336247693828,-4.56443873716492,2.0202486138063,-2.25934506573683,0.0238619286827667,NA
"ENSRNOG00000058566",2.28420759276042,-4.56215198077359,2.33264575125231,-1.95578431843941,0.0504905669461686,NA
"ENSRNOG00000023476",61.2588824565713,-4.53680025713545,0.79631252251126,-5.69726097340294,1.2174749408461e-08,1.76272978935361e-06
"ENSRNOG00000046944",2.20770790858265,-4.51560416609316,1.89976605992728,-2.37692643391366,0.0174575694618056,NA
"ENSRNOG00000043145",2.19688566510667,-4.50272555573145,2.41010838927621,-1.8682668280673,0.0617248879186703,NA
"ENSRNOG00000014925",1.93554950026053,-4.33449975974606,2.16097681262831,-2.00580577006477,0.0448769748099042,NA
"ENSRNOG00000033625",1.91390501330857,-4.30457829593086,3.05016044264821,-1.41126290792544,0.158167107153411,NA
"ENSRNOG00000021108",21.5039996483181,-4.30437121412506,0.754347456261554,-5.70608567497126,1.15603825983176e-08,1.71460211171632e-06
"ENSRNOG00000047335",1.82788806657735,-4.24670794389203,3.0744146791554,-1.38130616298602,0.167184844069182,NA
"ENSRNOG00000050998",1.81462208034474,-4.23803476160917,2.53774733653439,-1.66999870341574,0.0949196201365897,NA
"ENSRNOG00000010302",1.74410289882201,-4.17538074653867,2.49798641500332,-1.67149858040085,0.094623238873387,NA
"ENSRNOG00000048353",1.73991364846234,-4.16682430776328,3.12532512061756,-1.33324506953693,0.182451393459069,NA
"ENSRNOG00000061936",1.65501259121906,-4.09523326160849,2.56755815286546,-1.59499143458079,0.110714151203391,NA
"ENSRNOG00000050450",1.62671223880463,-4.07204055469124,2.55789298413673,-1.59195110192052,0.111395692001784,NA
"ENSRNOG00000050511",1.62671223880463,-4.07204055469124,2.55789298413673,-1.59195110192052,0.111395692001784,NA
"ENSRNOG00000003171",1.60260113674988,-4.05983016635353,3.17886497498502,-1.27713199469023,0.201555650941566,NA
"ENSRNOG00000038322",3.19767100106825,-4.02487122671917,1.87391282093603,-2.14784336910013,0.0317262004364306,NA
"ENSRNOG00000056194",1.5659222836161,-4.01454792919354,3.21399231101195,-1.24908448456416,0.211634174837392,NA
"ENSRNOG00000058490",1.5659222836161,-4.01454792919354,3.21399231101195,-1.24908448456416,0.211634174837392,NA
"ENSRNOG00000050758",1.47925284642362,-3.93394229208498,2.62719233205138,-1.49739409790879,0.134290743116617,NA
"ENSRNOG00000045819",1.45691012431807,-3.92249342832091,3.26327835784627,-1.20201006417047,0.229359628845976,NA
"ENSRNOG00000018237",1259.98088491759,-3.91114038025917,0.368628215992548,-10.6099864594691,2.67787876932491e-26,2.32631154232354e-23
"ENSRNOG00000033748",1.42442052154397,-3.88338697095333,2.64712494682102,-1.46702065409378,0.142370436859757,NA
"ENSRNOG00000056466",1.40098478229664,-3.86211175736724,2.23497812503125,-1.72803112214499,0.0839826448206513,NA
"ENSRNOG00000021691",74.7051398411055,-3.76271652553947,0.617609661768457,-6.09238611126217,1.11239981388862e-09,2.0192547069423e-07
"ENSRNOG00000008184",2.71572102654488,-3.75761109904438,1.89479688749688,-1.98312078927276,0.0473539389564742,NA
"ENSRNOG00000019328",469.991587652881,-3.73051075190596,0.245768286850963,-15.1789752848308,4.87335558509928e-52,9.87829177099625e-49
"ENSRNOG00000031703",1.2137274312178,-3.65963487307006,2.35720819550109,-1.55252933536153,0.120535619108764,NA
